Date,Nama,Qty Beli,Harga Beli,Qty Jual,Harga Jual
2019-01,AMPLOP 90 PPS PPL,0,0,0,0
2019-02,AMPLOP 90 PPS PPL,0,0,2,0
2019-03,AMPLOP 90 PPS PPL,1050,12903,1050,14850
2019-04,AMPLOP 90 PPS PPL,0,0,0,0
2019-05,AMPLOP 90 PPS PPL,900,13167,900,14850
2019-06,AMPLOP 90 PPS PPL,0,0,0,0
2019-07,AMPLOP 90 PPS PPL,0,0,0,0
2019-08,AMPLOP 90 PPS PPL,1950,13167,1352,15000
2019-09,AMPLOP 90 PPS PPL,1500,13167,1475,15000
2019-10,AMPLOP 90 PPS PPL,1500,13167,1318,15000
2019-11,AMPLOP 90 PPS PPL,1500,13167,2026,15000
2019-12,AMPLOP 90 PPS PPL,3000,13167,2286,15000
2020-01,AMPLOP 90 PPS PPL,900,13575,1799,15000
2020-02,AMPLOP 90 PPS PPL,4350,13575,2038,15433
2020-03,AMPLOP 90 PPS PPL,0,0,1866,15433
2020-04,AMPLOP 90 PPS PPL,1050,13991,1502,15433
2020-05,AMPLOP 90 PPS PPL,900,13991,871,15900
2020-06,AMPLOP 90 PPS PPL,900,13991,933,15900
2020-07,AMPLOP 90 PPS PPL,0,0,0,0
2020-08,AMPLOP 90 PPS PPL,0,0,0,0
2020-09,AMPLOP 90 PPS PPL,0,0,0,0
2020-10,AMPLOP 90 PPS PPL,0,0,0,0
2020-11,AMPLOP 90 PPS PPL,1500,13991,1250,15900
2020-12,AMPLOP 90 PPS PPL,1500,13991,2735,15916
2021-01,AMPLOP 90 PPS PPL,0,0,222,15916
2021-02,AMPLOP 90 PPS PPL,3000,14424,1614,16383
2021-03,AMPLOP 90 PPS PPL,1500,15183,1897,16716
2021-04,AMPLOP 90 PPS PPL,3150,15982,3038,17383
2021-05,AMPLOP 90 PPS PPL,2400,15982,3154,18266
2021-06,AMPLOP 90 PPS PPL,1500,15982,1876,18266
2021-07,AMPLOP 90 PPS PPL,1500,15982,1498,18283
2021-08,AMPLOP 90 PPS PPL,1500,15982,1485,18283
2021-09,AMPLOP 90 PPS PPL,4500,15982,2902,18283
2021-10,AMPLOP 90 PPS PPL,1500,15982,2205,18283
2021-11,AMPLOP 90 PPS PPL,3000,15982,2906,18283
2021-12,AMPLOP 90 PPS PPL,900,15982,1916,18283
2022-01,AMPLOP 90 PPS PPL,0,0,2808,18283
2022-02,AMPLOP 90 PPS PPL,1500,16462,1755,18783
2022-03,AMPLOP 90 PPS PPL,3300,16462,2892,18783
2022-04,AMPLOP 90 PPS PPL,3750,16690,2781,18783
2022-05,AMPLOP 90 PPS PPL,1500,16805,2438,19250
2022-06,AMPLOP 90 PPS PPL,3000,16805,2000,19250
2022-07,AMPLOP 90 PPS PPL,3150,16805,3420,19250
2022-08,AMPLOP 90 PPS PPL,1500,16805,1638,19250
2022-09,AMPLOP 90 PPS PPL,1500,16805,1425,19250
2022-10,AMPLOP 90 PPS PPL,3150,16805,2375,19250
2022-11,AMPLOP 90 PPS PPL,0,0,1606,19250
2022-12,AMPLOP 90 PPS PPL,4500,16805,2504,19250
2023-01,AMPLOP 90 PPS PPL,2400,16805,2624,19250
2023-02,AMPLOP 90 PPS PPL,4950,16805,2635,19250
2023-03,AMPLOP 90 PPS PPL,0,0,1874,19250
2023-04,AMPLOP 90 PPS PPL,90,16805,2628,19250
2023-05,AMPLOP 90 PPS PPL,3750,16805,2404,19250
2023-06,AMPLOP 90 PPS PPL,1500,16805,1894,19333
2023-07,AMPLOP 90 PPS PPL,1500,16805,2269,19333
2023-08,AMPLOP 90 PPS PPL,3000,15230,2051,19333
2023-09,AMPLOP 90 PPS PPL,1500,15230,1802,19333
2023-10,AMPLOP 90 PPS PPL,3000,15711,2197,18283
2023-11,AMPLOP 90 PPS PPL,1500,15221,1588,18283
2023-12,AMPLOP 90 PPS PPL,3000,15221,1801,18283
2024-01,AMPLOP 90 PPS PPL,0,0,1410,18283
2024-02,AMPLOP 90 PPS PPL,2250,15221,2298,18283
2024-03,AMPLOP 90 PPS PPL,3000,15221,2049,18283
2024-04,AMPLOP 90 PPS PPL,0,0,1431,18283
2024-05,AMPLOP 90 PPS PPL,2100,15221,1357,18283
2024-06,AMPLOP 90 PPS PPL,1650,15221,2456,18283
2024-07,AMPLOP 90 PPS PPL,1500,15221,1873,18283
2024-08,AMPLOP 90 PPS PPL,1500,15221,1812,18283
2024-09,AMPLOP 90 PPS PPL,2550,15455,1877,18283
2024-10,AMPLOP 90 PPS PPL,2250,15220,1478,18283
2024-11,AMPLOP 90 PPS PPL,1800,15220,1463,18283
2024-12,AMPLOP 90 PPS PPL,750,15220,1706,18283
2025-01,AMPLOP 90 PPS PPL,0,0,61,18283
