Date,Nama,Qty Beli,Harga Beli,Qty Jual,Harga Jual
2019-01,BUKU GBR A4 SIDU,10000,2085,6015,2352
2019-02,BUKU GBR A4 SIDU,0,0,6843,2375
2019-03,BUKU GBR A4 SIDU,14600,2042,5277,2347
2019-04,BUKU GBR A4 SIDU,0,0,4980,2347
2019-05,BUKU GBR A4 SIDU,0,0,3838,2347
2019-06,BUKU GBR A4 SIDU,10000,2042,6581,2347
2019-07,BUKU GBR A4 SIDU,15000,2042,0,0
2019-08,BUKU GBR A4 SIDU,15000,2042,9053,2347
2019-09,BUKU GBR A4 SIDU,10000,2042,11696,2347
2019-10,BUKU GBR A4 SIDU,8000,2042,6857,2347
2019-11,BUKU GBR A4 SIDU,5000,2042,4827,2347
2019-12,BUKU GBR A4 SIDU,0,0,6367,2347
2020-01,BUKU GBR A4 SIDU,15000,2109,11065,2347
2020-02,BUKU GBR A4 SIDU,5000,2109,6276,2395
2020-03,BUKU GBR A4 SIDU,10000,2045,2984,2395
2020-04,BUKU GBR A4 SIDU,0,0,5542,2465
2020-05,BUKU GBR A4 SIDU,0,0,2431,2465
2020-06,BUKU GBR A4 SIDU,13000,2170,9841,2465
2020-07,BUKU GBR A4 SIDU,3000,2170,7659,2465
2020-08,BUKU GBR A4 SIDU,10000,2170,4967,2465
2020-09,BUKU GBR A4 SIDU,400,2170,3851,2465
2020-10,BUKU GBR A4 SIDU,10000,2170,3113,2465
2020-11,BUKU GBR A4 SIDU,0,0,7082,2465
2020-12,BUKU GBR A4 SIDU,5000,2170,4789,2465
2021-01,BUKU GBR A4 SIDU,5000,2170,2606,2465
2021-02,BUKU GBR A4 SIDU,5000,2238,4525,2535
2021-03,BUKU GBR A4 SIDU,0,0,2281,2537
2021-04,BUKU GBR A4 SIDU,3000,2479,2455,2662
2021-05,BUKU GBR A4 SIDU,5000,2583,2902,2802
2021-06,BUKU GBR A4 SIDU,0,0,4109,2917
2021-07,BUKU GBR A4 SIDU,11000,2583,11777,2917
2021-08,BUKU GBR A4 SIDU,10000,2583,5526,2917
2021-09,BUKU GBR A4 SIDU,0,0,4588,2917
2021-10,BUKU GBR A4 SIDU,11000,2583,9037,2917
2021-11,BUKU GBR A4 SIDU,6000,2583,7204,2917
2021-12,BUKU GBR A4 SIDU,11000,2583,6819,2917
2022-01,BUKU GBR A4 SIDU,0,0,8011,2917
2022-02,BUKU GBR A4 SIDU,6000,2660,5388,3005
2022-03,BUKU GBR A4 SIDU,6000,2660,5162,3005
2022-04,BUKU GBR A4 SIDU,5000,2748,2919,3005
2022-05,BUKU GBR A4 SIDU,6000,2748,7579,3140
2022-06,BUKU GBR A4 SIDU,6000,2748,8112,3140
2022-07,BUKU GBR A4 SIDU,24000,2748,24099,3140
2022-08,BUKU GBR A4 SIDU,20000,2748,6748,3140
2022-09,BUKU GBR A4 SIDU,10000,2748,8020,3140
2022-10,BUKU GBR A4 SIDU,0,0,8799,3140
2022-11,BUKU GBR A4 SIDU,10000,2748,7495,3140
2022-12,BUKU GBR A4 SIDU,400,2748,7328,3140
2023-01,BUKU GBR A4 SIDU,10000,2748,9149,3140
2023-02,BUKU GBR A4 SIDU,6000,2748,9774,3140
2023-03,BUKU GBR A4 SIDU,6000,2748,4353,3140
2023-04,BUKU GBR A4 SIDU,0,0,2174,3140
2023-05,BUKU GBR A4 SIDU,15000,2789,5132,3197
2023-06,BUKU GBR A4 SIDU,0,0,6386,3197
2023-07,BUKU GBR A4 SIDU,22000,2789,23322,3197
2023-08,BUKU GBR A4 SIDU,10000,2789,9388,3197
2023-09,BUKU GBR A4 SIDU,6000,2789,7565,3197
2023-10,BUKU GBR A4 SIDU,10000,2877,5827,3197
2023-11,BUKU GBR A4 SIDU,10000,2789,6509,3245
2023-12,BUKU GBR A4 SIDU,10000,2789,6639,3245
2024-01,BUKU GBR A4 SIDU,0,0,4890,3245
2024-02,BUKU GBR A4 SIDU,10000,2789,3567,3245
2024-03,BUKU GBR A4 SIDU,0,0,3386,3245
2024-04,BUKU GBR A4 SIDU,0,0,4540,3245
2024-05,BUKU GBR A4 SIDU,10000,2789,7532,3245
2024-06,BUKU GBR A4 SIDU,0,0,8472,3245
2024-07,BUKU GBR A4 SIDU,35000,2789,18145,3245
2024-08,BUKU GBR A4 SIDU,0,0,6836,3245
2024-09,BUKU GBR A4 SIDU,0,0,6411,3320
2024-10,BUKU GBR A4 SIDU,20000,2876,5711,3320
2024-11,BUKU GBR A4 SIDU,0,0,3585,3320
2024-12,BUKU GBR A4 SIDU,0,0,4826,3320
