Date,Nama,Qty Beli,Harga Beli,Qty Jual,Harga Jual
2019-01,BUKU HC FOLIO 100 PPL,3000,10290,3792,11490
2019-02,BUKU HC FOLIO 100 PPL,1000,10290,1678,11620
2019-03,BUKU HC FOLIO 100 PPL,3500,9975,2190,11380
2019-04,BUKU HC FOLIO 100 PPL,2500,9975,1940,11380
2019-05,BUKU HC FOLIO 100 PPL,0,0,1147,11380
2019-06,BUKU HC FOLIO 100 PPL,2500,9975,2481,11380
2019-07,BUKU HC FOLIO 100 PPL,4500,9975,0,0
2019-08,BUKU HC FOLIO 100 PPL,3750,9975,3568,11380
2019-09,BUKU HC FOLIO 100 PPL,5000,9975,3219,11380
2019-10,BUKU HC FOLIO 100 PPL,2500,9975,2222,11380
2019-11,BUKU HC FOLIO 100 PPL,2500,9975,2250,11380
2019-12,BUKU HC FOLIO 100 PPL,0,0,2121,11380
2020-01,BUKU HC FOLIO 100 PPL,4000,10279,4367,11380
2020-02,BUKU HC FOLIO 100 PPL,3750,10279,2941,11610
2020-03,BUKU HC FOLIO 100 PPL,4250,10124,3377,11610
2020-04,BUKU HC FOLIO 100 PPL,1250,10593,2252,11960
2020-05,BUKU HC FOLIO 100 PPL,0,0,593,11960
2020-06,BUKU HC FOLIO 100 PPL,4000,10593,1872,11960
2020-07,BUKU HC FOLIO 100 PPL,2500,10593,3660,11960
2020-08,BUKU HC FOLIO 100 PPL,2500,10593,3086,11960
2020-09,BUKU HC FOLIO 100 PPL,1350,10593,1552,11960
2020-10,BUKU HC FOLIO 100 PPL,2500,10593,2197,12160
2020-11,BUKU HC FOLIO 100 PPL,2500,10593,2072,12160
2020-12,BUKU HC FOLIO 100 PPL,2500,10593,2186,12160
2021-01,BUKU HC FOLIO 100 PPL,2500,10921,2788,12160
2021-02,BUKU HC FOLIO 100 PPL,2500,10921,3042,12320
2021-03,BUKU HC FOLIO 100 PPL,1500,11495,1331,12320
2021-04,BUKU HC FOLIO 100 PPL,1500,12101,1835,12950
2021-05,BUKU HC FOLIO 100 PPL,2750,12604,1659,13620
2021-06,BUKU HC FOLIO 100 PPL,1500,12604,2158,14170
2021-07,BUKU HC FOLIO 100 PPL,1500,12604,1369,14160
2021-08,BUKU HC FOLIO 100 PPL,1500,12604,2273,14160
2021-09,BUKU HC FOLIO 100 PPL,1500,12604,1400,14160
2021-10,BUKU HC FOLIO 100 PPL,2750,12604,2605,14160
2021-11,BUKU HC FOLIO 100 PPL,2500,12604,2170,14160
2021-12,BUKU HC FOLIO 100 PPL,1500,12604,2263,14160
2022-01,BUKU HC FOLIO 100 PPL,0,0,2021,14160
2022-02,BUKU HC FOLIO 100 PPL,2500,12982,1341,14590
2022-03,BUKU HC FOLIO 100 PPL,0,0,1498,14590
2022-04,BUKU HC FOLIO 100 PPL,1500,13373,1299,14590
2022-05,BUKU HC FOLIO 100 PPL,1500,13373,1427,15200
2022-06,BUKU HC FOLIO 100 PPL,2500,13373,2088,15200
2022-07,BUKU HC FOLIO 100 PPL,3000,13373,3070,15200
2022-08,BUKU HC FOLIO 100 PPL,2500,13373,2367,15200
2022-09,BUKU HC FOLIO 100 PPL,0,0,1555,15200
2022-10,BUKU HC FOLIO 100 PPL,2500,13373,2335,15200
2022-11,BUKU HC FOLIO 100 PPL,7500,13373,1895,15200
2022-12,BUKU HC FOLIO 100 PPL,0,0,1863,15200
2023-01,BUKU HC FOLIO 100 PPL,2500,13373,2512,15200
2023-02,BUKU HC FOLIO 100 PPL,2500,13373,1556,15200
2023-03,BUKU HC FOLIO 100 PPL,0,0,1805,15200
2023-04,BUKU HC FOLIO 100 PPL,0,0,1614,15200
2023-05,BUKU HC FOLIO 100 PPL,4050,13573,1607,15470
2023-06,BUKU HC FOLIO 100 PPL,0,0,1820,15470
2023-07,BUKU HC FOLIO 100 PPL,1500,13573,3064,15470
2023-08,BUKU HC FOLIO 100 PPL,5000,13573,2285,15470
2023-09,BUKU HC FOLIO 100 PPL,0,0,1570,15470
2023-10,BUKU HC FOLIO 100 PPL,1500,12601,1631,14490
2023-11,BUKU HC FOLIO 100 PPL,2900,12216,1392,14490
2023-12,BUKU HC FOLIO 100 PPL,0,0,1466,14490
2024-01,BUKU HC FOLIO 100 PPL,0,0,1475,14490
2024-02,BUKU HC FOLIO 100 PPL,3500,12216,1465,14490
2024-03,BUKU HC FOLIO 100 PPL,1250,12216,1597,14490
2024-04,BUKU HC FOLIO 100 PPL,0,0,1164,14510
2024-05,BUKU HC FOLIO 100 PPL,2500,12216,1447,14510
2024-06,BUKU HC FOLIO 100 PPL,0,0,1370,14510
2024-07,BUKU HC FOLIO 100 PPL,4500,12216,2838,14200
2024-08,BUKU HC FOLIO 100 PPL,2500,12216,2715,14200
2024-09,BUKU HC FOLIO 100 PPL,500,12216,1348,14480
2024-10,BUKU HC FOLIO 100 PPL,2500,12216,1075,14480
2024-11,BUKU HC FOLIO 100 PPL,0,0,1293,14480
2024-12,BUKU HC FOLIO 100 PPL,1750,12216,1477,14480
2025-01,BUKU HC FOLIO 100 PPL,0,0,172,14480
