Date,Nama,Qty Beli,Harga Beli,Qty Jual,Harga Jual
2019-01,BUKU TULIS BIG BOS 42 SIDU,0,0,9144,3565
2019-02,BUKU TULIS BIG BOS 42 SIDU,0,0,2862,3229
2019-03,BUKU TULIS BIG BOS 42 SIDU,72000,2846,45884,3229
2019-04,BUKU TULIS BIG BOS 42 SIDU,0,0,11462,3298
2019-05,BUKU TULIS BIG BOS 42 SIDU,43200,2991,49364,3326
2019-06,BUKU TULIS BIG BOS 42 SIDU,63360,3063,14628,3326
2019-07,BUKU TULIS BIG BOS 42 SIDU,37440,3063,0,0
2019-08,BUKU TULIS BIG BOS 42 SIDU,7200,3063,3246,3406
2019-09,BUKU TULIS BIG BOS 42 SIDU,0,0,6765,3406
2019-10,BUKU TULIS BIG BOS 42 SIDU,7200,3094,5444,3479
2019-11,BUKU TULIS BIG BOS 42 SIDU,0,0,1769,3479
2019-12,BUKU TULIS BIG BOS 42 SIDU,0,0,2,0
2020-01,BUKU TULIS BIG BOS 42 SIDU,0,0,0,0
2020-02,BUKU TULIS BIG BOS 42 SIDU,28800,2784,8772,3204
2020-03,BUKU TULIS BIG BOS 42 SIDU,21600,2784,34695,3204
2020-04,BUKU TULIS BIG BOS 42 SIDU,0,0,1502,3406
2020-05,BUKU TULIS BIG BOS 42 SIDU,0,0,673,3406
2020-06,BUKU TULIS BIG BOS 42 SIDU,14400,3032,8670,3406
2020-07,BUKU TULIS BIG BOS 42 SIDU,7200,3032,17697,3406
2020-08,BUKU TULIS BIG BOS 42 SIDU,7200,3032,7047,3406
2020-09,BUKU TULIS BIG BOS 42 SIDU,7200,2939,1726,3375
2020-10,BUKU TULIS BIG BOS 42 SIDU,0,0,1337,3375
2020-11,BUKU TULIS BIG BOS 42 SIDU,14400,1973,3525,3375
2020-12,BUKU TULIS BIG BOS 42 SIDU,21600,1973,12290,3375
2021-01,BUKU TULIS BIG BOS 42 SIDU,0,0,5922,3375
2021-02,BUKU TULIS BIG BOS 42 SIDU,0,0,2979,3375
2021-03,BUKU TULIS BIG BOS 42 SIDU,7200,2871,8017,3368
2021-04,BUKU TULIS BIG BOS 42 SIDU,0,0,2215,3368
2021-05,BUKU TULIS BIG BOS 42 SIDU,0,0,3474,3368
2021-06,BUKU TULIS BIG BOS 42 SIDU,0,0,8454,3472
2021-07,BUKU TULIS BIG BOS 42 SIDU,0,0,613,3645
2021-08,BUKU TULIS BIG BOS 42 SIDU,0,0,0,0
2021-09,BUKU TULIS BIG BOS 42 SIDU,0,0,0,0
2021-10,BUKU TULIS BIG BOS 42 SIDU,8640,3428,8630,3878
2021-11,BUKU TULIS BIG BOS 42 SIDU,7200,3428,6622,3878
2021-12,BUKU TULIS BIG BOS 42 SIDU,4320,3479,4908,3878
2022-01,BUKU TULIS BIG BOS 42 SIDU,0,0,7200,4020
2022-02,BUKU TULIS BIG BOS 42 SIDU,15840,3621,15840,4107
2022-03,BUKU TULIS BIG BOS 42 SIDU,21600,3638,16650,4152
2022-04,BUKU TULIS BIG BOS 42 SIDU,18720,3711,3648,4152
2022-05,BUKU TULIS BIG BOS 42 SIDU,14400,3821,9312,4312
2022-06,BUKU TULIS BIG BOS 42 SIDU,0,0,12498,4312
2022-07,BUKU TULIS BIG BOS 42 SIDU,43200,3995,55824,4440
2022-08,BUKU TULIS BIG BOS 42 SIDU,14400,4054,14154,4572
2022-09,BUKU TULIS BIG BOS 42 SIDU,3600,4054,3480,4572
2022-10,BUKU TULIS BIG BOS 42 SIDU,7200,4054,1971,4572
2022-11,BUKU TULIS BIG BOS 42 SIDU,7200,3821,7694,4381
2022-12,BUKU TULIS BIG BOS 42 SIDU,0,0,4466,4381
2023-01,BUKU TULIS BIG BOS 42 SIDU,21600,3821,19093,4381
2023-02,BUKU TULIS BIG BOS 42 SIDU,14400,3821,17990,4381
2023-03,BUKU TULIS BIG BOS 42 SIDU,36000,3821,21505,4381
2023-04,BUKU TULIS BIG BOS 42 SIDU,7200,3821,3021,4381
2023-05,BUKU TULIS BIG BOS 42 SIDU,0,0,9798,4465
2023-06,BUKU TULIS BIG BOS 42 SIDU,36000,3957,8240,4465
2023-07,BUKU TULIS BIG BOS 42 SIDU,21600,3957,39852,4465
2023-08,BUKU TULIS BIG BOS 42 SIDU,0,0,5746,4465
2023-09,BUKU TULIS BIG BOS 42 SIDU,0,0,3265,4465
2023-10,BUKU TULIS BIG BOS 42 SIDU,0,0,1964,4465
2023-11,BUKU TULIS BIG BOS 42 SIDU,0,0,1559,4465
2023-12,BUKU TULIS BIG BOS 42 SIDU,0,0,1374,4465
2024-01,BUKU TULIS BIG BOS 42 SIDU,7200,3957,6497,4465
2024-02,BUKU TULIS BIG BOS 42 SIDU,7200,3957,4059,4465
2024-03,BUKU TULIS BIG BOS 42 SIDU,46800,3957,13040,4465
2024-04,BUKU TULIS BIG BOS 42 SIDU,8640,3760,15093,4465
2024-05,BUKU TULIS BIG BOS 42 SIDU,0,0,6739,4281
2024-06,BUKU TULIS BIG BOS 42 SIDU,0,0,14194,4281
2024-07,BUKU TULIS BIG BOS 42 SIDU,36000,3760,33696,4281
2024-08,BUKU TULIS BIG BOS 42 SIDU,0,0,3547,4281
2024-09,BUKU TULIS BIG BOS 42 SIDU,0,0,1689,4281
2024-10,BUKU TULIS BIG BOS 42 SIDU,0,0,303,4281
2024-11,BUKU TULIS BIG BOS 42 SIDU,0,0,1792,4281
2024-12,BUKU TULIS BIG BOS 42 SIDU,0,0,4534,4281
2025-01,BUKU TULIS BIG BOS 42 SIDU,0,0,78,0
