Date,Nama,Qty Beli,Harga Beli,Qty Jual,Harga Jual
2019-01,KERTAS HVS A4 70GSM SIDU,1750,34435,2426,38800
2019-02,KERTAS HVS A4 70GSM SIDU,3000,34090,2384,38400
2019-03,KERTAS HVS A4 70GSM SIDU,2000,34090,2450,38800
2019-04,KERTAS HVS A4 70GSM SIDU,0,0,2387,38800
2019-05,KERTAS HVS A4 70GSM SIDU,6250,33746,2310,38400
2019-06,KERTAS HVS A4 70GSM SIDU,0,0,2606,38400
2019-07,KERTAS HVS A4 70GSM SIDU,5000,33746,0,0
2019-08,KERTAS HVS A4 70GSM SIDU,3220,33535,2441,37800
2019-09,KERTAS HVS A4 70GSM SIDU,2930,33324,3070,37800
2019-10,KERTAS HVS A4 70GSM SIDU,3315,33324,3095,37800
2019-11,KERTAS HVS A4 70GSM SIDU,3300,33324,3219,37800
2019-12,KERTAS HVS A4 70GSM SIDU,3610,33324,3092,37800
2020-01,KERTAS HVS A4 70GSM SIDU,220,33324,2709,37800
2020-02,KERTAS HVS A4 70GSM SIDU,3280,32802,2669,36000
2020-03,KERTAS HVS A4 70GSM SIDU,4475,31874,4775,36000
2020-04,KERTAS HVS A4 70GSM SIDU,1475,31874,2063,36000
2020-05,KERTAS HVS A4 70GSM SIDU,1000,31874,544,36000
2020-06,KERTAS HVS A4 70GSM SIDU,3100,31874,2845,36000
2020-07,KERTAS HVS A4 70GSM SIDU,3810,31102,2834,35200
2020-08,KERTAS HVS A4 70GSM SIDU,3345,30876,3087,35200
2020-09,KERTAS HVS A4 70GSM SIDU,1375,29750,2174,35200
2020-10,KERTAS HVS A4 70GSM SIDU,3630,29439,2834,33400
2020-11,KERTAS HVS A4 70GSM SIDU,4260,29754,4378,33400
2020-12,KERTAS HVS A4 70GSM SIDU,3110,30651,3743,34300
2021-01,KERTAS HVS A4 70GSM SIDU,2315,30865,3714,35000
2021-02,KERTAS HVS A4 70GSM SIDU,3615,30865,3531,35000
2021-03,KERTAS HVS A4 70GSM SIDU,2975,30865,3151,35000
2021-04,KERTAS HVS A4 70GSM SIDU,3715,31601,2707,36600
2021-05,KERTAS HVS A4 70GSM SIDU,1900,33382,2000,37800
2021-06,KERTAS HVS A4 70GSM SIDU,3500,33899,3200,37800
2021-07,KERTAS HVS A4 70GSM SIDU,1875,34416,2355,38900
2021-08,KERTAS HVS A4 70GSM SIDU,3375,34416,3499,38900
2021-09,KERTAS HVS A4 70GSM SIDU,3000,34416,2836,38900
2021-10,KERTAS HVS A4 70GSM SIDU,3250,34416,4251,38900
2021-11,KERTAS HVS A4 70GSM SIDU,4675,34416,5146,38900
2021-12,KERTAS HVS A4 70GSM SIDU,5250,34535,4807,38900
2022-01,KERTAS HVS A4 70GSM SIDU,0,0,4488,39300
2022-02,KERTAS HVS A4 70GSM SIDU,3500,35150,3186,39300
2022-03,KERTAS HVS A4 70GSM SIDU,4250,35625,4923,39700
2022-04,KERTAS HVS A4 70GSM SIDU,2000,37050,2669,41800
2022-05,KERTAS HVS A4 70GSM SIDU,6000,38950,3953,42200
2022-06,KERTAS HVS A4 70GSM SIDU,900,38950,2472,44300
2022-07,KERTAS HVS A4 70GSM SIDU,5000,38950,3335,44300
2022-08,KERTAS HVS A4 70GSM SIDU,1000,38950,3306,44700
2022-09,KERTAS HVS A4 70GSM SIDU,4625,39330,4364,44700
2022-10,KERTAS HVS A4 70GSM SIDU,7250,39330,5598,44700
2022-11,KERTAS HVS A4 70GSM SIDU,3900,39330,3905,44700
2022-12,KERTAS HVS A4 70GSM SIDU,3500,39330,4336,44700
2023-01,KERTAS HVS A4 70GSM SIDU,5100,39330,5262,44700
2023-02,KERTAS HVS A4 70GSM SIDU,4150,39330,4439,44700
2023-03,KERTAS HVS A4 70GSM SIDU,3000,39330,3248,44700
2023-04,KERTAS HVS A4 70GSM SIDU,3050,39330,3633,44700
2023-05,KERTAS HVS A4 70GSM SIDU,4600,39330,5118,44700
2023-06,KERTAS HVS A4 70GSM SIDU,6000,39330,4410,44700
2023-07,KERTAS HVS A4 70GSM SIDU,4375,39330,4549,44700
2023-08,KERTAS HVS A4 70GSM SIDU,7200,39330,5195,44700
2023-09,KERTAS HVS A4 70GSM SIDU,2750,39330,2754,44700
2023-10,KERTAS HVS A4 70GSM SIDU,4000,38170,5000,44700
2023-11,KERTAS HVS A4 70GSM SIDU,3250,38338,3801,44700
2023-12,KERTAS HVS A4 70GSM SIDU,6500,38302,6298,44700
2024-01,KERTAS HVS A4 70GSM SIDU,4000,38244,3385,44700
2024-02,KERTAS HVS A4 70GSM SIDU,4750,38095,5503,44700
2024-03,KERTAS HVS A4 70GSM SIDU,5250,38215,4718,44700
2024-04,KERTAS HVS A4 70GSM SIDU,4000,38465,4321,44700
2024-05,KERTAS HVS A4 70GSM SIDU,5500,38517,3971,44700
2024-06,KERTAS HVS A4 70GSM SIDU,3750,38543,5168,44700
2024-07,KERTAS HVS A4 70GSM SIDU,5000,38543,4373,44700
2024-08,KERTAS HVS A4 70GSM SIDU,4950,38248,4357,44700
2024-09,KERTAS HVS A4 70GSM SIDU,2950,37953,2836,44100
2024-10,KERTAS HVS A4 70GSM SIDU,3250,36721,3534,44100
2024-11,KERTAS HVS A4 70GSM SIDU,2850,36666,3909,44100
2024-12,KERTAS HVS A4 70GSM SIDU,3600,37000,4178,44100
