Date,Nama,Qty Beli,Harga Beli,Qty Jual,Harga Jual
2019-01,KERTAS HVS F4 70 GSM SIDU,3500,39188,3495,44000
2019-02,KERTAS HVS F4 70 GSM SIDU,5025,38992,3603,43600
2019-03,KERTAS HVS F4 70 GSM SIDU,2500,38796,2747,43600
2019-04,KERTAS HVS F4 70 GSM SIDU,5500,38404,2568,43400
2019-05,KERTAS HVS F4 70 GSM SIDU,0,0,2393,43400
2019-06,KERTAS HVS F4 70 GSM SIDU,2500,38404,4043,43400
2019-07,KERTAS HVS F4 70 GSM SIDU,6500,38404,0,0
2019-08,KERTAS HVS F4 70 GSM SIDU,3000,38077,3744,43100
2019-09,KERTAS HVS F4 70 GSM SIDU,6000,38077,4993,42900
2019-10,KERTAS HVS F4 70 GSM SIDU,4350,38077,3772,42900
2019-11,KERTAS HVS F4 70 GSM SIDU,3000,38077,3410,42900
2019-12,KERTAS HVS F4 70 GSM SIDU,7650,38077,8565,42900
2020-01,KERTAS HVS F4 70 GSM SIDU,2975,37275,2432,42000
2020-02,KERTAS HVS F4 70 GSM SIDU,4805,36762,5262,40800
2020-03,KERTAS HVS F4 70 GSM SIDU,9700,36249,8790,40800
2020-04,KERTAS HVS F4 70 GSM SIDU,2000,36249,3652,40800
2020-05,KERTAS HVS F4 70 GSM SIDU,1000,36249,596,40800
2020-06,KERTAS HVS F4 70 GSM SIDU,7250,36249,7647,40800
2020-07,KERTAS HVS F4 70 GSM SIDU,6325,35681,6227,40800
2020-08,KERTAS HVS F4 70 GSM SIDU,5800,34977,5605,39900
2020-09,KERTAS HVS F4 70 GSM SIDU,5550,33949,5087,39900
2020-10,KERTAS HVS F4 70 GSM SIDU,7125,33594,6592,38000
2020-11,KERTAS HVS F4 70 GSM SIDU,11950,33955,11277,38000
2020-12,KERTAS HVS F4 70 GSM SIDU,5500,34977,5176,39100
2021-01,KERTAS HVS F4 70 GSM SIDU,3250,35222,4236,39800
2021-02,KERTAS HVS F4 70 GSM SIDU,9200,35222,10247,39800
2021-03,KERTAS HVS F4 70 GSM SIDU,5850,35222,6107,39800
2021-04,KERTAS HVS F4 70 GSM SIDU,6750,36258,6129,41500
2021-05,KERTAS HVS F4 70 GSM SIDU,7750,37963,6327,42800
2021-06,KERTAS HVS F4 70 GSM SIDU,8450,38830,8542,42800
2021-07,KERTAS HVS F4 70 GSM SIDU,5950,39120,6735,44100
2021-08,KERTAS HVS F4 70 GSM SIDU,8500,39120,7349,44100
2021-09,KERTAS HVS F4 70 GSM SIDU,7000,39120,9244,44100
2021-10,KERTAS HVS F4 70 GSM SIDU,8500,39120,8828,44100
2021-11,KERTAS HVS F4 70 GSM SIDU,12900,39120,11289,44100
2021-12,KERTAS HVS F4 70 GSM SIDU,6000,39120,7445,44100
2022-01,KERTAS HVS F4 70 GSM SIDU,0,0,12593,44500
2022-02,KERTAS HVS F4 70 GSM SIDU,7250,39703,7052,44500
2022-03,KERTAS HVS F4 70 GSM SIDU,12500,40419,10474,44800
2022-04,KERTAS HVS F4 70 GSM SIDU,2000,41800,4441,47000
2022-05,KERTAS HVS F4 70 GSM SIDU,9500,43225,7501,47400
2022-06,KERTAS HVS F4 70 GSM SIDU,10000,43700,9555,49600
2022-07,KERTAS HVS F4 70 GSM SIDU,3025,43700,6064,49600
2022-08,KERTAS HVS F4 70 GSM SIDU,12300,44396,10726,50700
2022-09,KERTAS HVS F4 70 GSM SIDU,8500,44745,8455,50700
2022-10,KERTAS HVS F4 70 GSM SIDU,9625,44745,10861,50700
2022-11,KERTAS HVS F4 70 GSM SIDU,11200,44745,9352,50700
2022-12,KERTAS HVS F4 70 GSM SIDU,8525,44745,9680,50700
2023-01,KERTAS HVS F4 70 GSM SIDU,13025,44745,9265,50700
2023-02,KERTAS HVS F4 70 GSM SIDU,5500,44745,9057,50700
2023-03,KERTAS HVS F4 70 GSM SIDU,9300,44745,7988,50700
2023-04,KERTAS HVS F4 70 GSM SIDU,7000,44745,8466,50700
2023-05,KERTAS HVS F4 70 GSM SIDU,10175,44745,9964,50700
2023-06,KERTAS HVS F4 70 GSM SIDU,8600,44745,8571,50700
2023-07,KERTAS HVS F4 70 GSM SIDU,10500,44745,10120,50700
2023-08,KERTAS HVS F4 70 GSM SIDU,12000,44745,12141,50700
2023-09,KERTAS HVS F4 70 GSM SIDU,4000,44745,4502,50700
2023-10,KERTAS HVS F4 70 GSM SIDU,10750,43613,10816,50700
2023-11,KERTAS HVS F4 70 GSM SIDU,8500,43667,8068,50700
2023-12,KERTAS HVS F4 70 GSM SIDU,10750,43539,11308,50700
2024-01,KERTAS HVS F4 70 GSM SIDU,9375,43642,8348,50700
2024-02,KERTAS HVS F4 70 GSM SIDU,7000,43539,8088,50700
2024-03,KERTAS HVS F4 70 GSM SIDU,8500,43539,8257,50700
2024-04,KERTAS HVS F4 70 GSM SIDU,7500,43823,7961,50700
2024-05,KERTAS HVS F4 70 GSM SIDU,10250,43836,7730,50700
2024-06,KERTAS HVS F4 70 GSM SIDU,6250,43850,8531,50700
2024-07,KERTAS HVS F4 70 GSM SIDU,7600,43850,7744,50700
2024-08,KERTAS HVS F4 70 GSM SIDU,9050,43514,7317,50700
2024-09,KERTAS HVS F4 70 GSM SIDU,5625,43179,6231,50000
2024-10,KERTAS HVS F4 70 GSM SIDU,3250,41786,3131,50000
2024-11,KERTAS HVS F4 70 GSM SIDU,3750,41748,5139,50000
2024-12,KERTAS HVS F4 70 GSM SIDU,5750,42062,5845,50000
2025-01,KERTAS HVS F4 70 GSM SIDU,0,0,31,50000
